X_(unit),y1,y2
0,110.614,
0.000683,110.614,
0.001365,110.614,
0.002048,110.614,
0.00273,110.614,
0.003413,110.614,
0.004095,110.614,
0.004778,110.614,
0.00546,110.614,
0.006143,110.614,
0.006825,110.614,
0.007508,110.405,
0.00819,110.195,
0.008873,109.776,
0.009556,109.776,
0.010238,109.148,
0.010921,108.1,
0.011603,106.843,
0.012286,105.796,
0.012968,104.958,
0.013651,104.12,
0.014333,103.282,
0.015016,102.863,
0.015698,102.025,
0.016381,101.606,
0.017063,100.768,
0.017746,100.349,
0.018429,99.511,
0.019111,98.673,
0.019794,98.044,
0.020476,97.625,
0.021159,97.625,
0.021841,97.206,
0.022524,96.997,
0.023206,96.787,
0.023889,96.787,
0.024571,96.787,
0.025254,96.787,
0.025936,96.787,
0.026619,96.787,
0.027302,96.787,
0.027984,96.787,
0.028667,96.787,
0.029349,96.997,
0.030032,97.835,
0.030714,98.673,
0.031397,99.301,
0.032079,99.301,
0.032762,99.72,
0.033444,99.72,
0.034127,100.139,
0.034809,100.349,
0.035492,100.768,
0.036175,101.187,
0.036857,101.606,
0.03754,102.444,
0.038222,103.282,
0.038905,103.91,
0.039587,104.329,
0.04027,104.748,
0.040952,105.167,
0.041635,105.586,
0.042317,106.005,
0.043,106.005,
0.043682,106.005,
0.044365,106.215,
0.045048,106.843,
0.04573,107.472,
0.046413,108.1,
0.047095,108.729,
0.047778,109.357,
0.04846,109.357,
0.049143,109.357,
0.049825,109.357,
0.050508,109.357,
0.05119,109.357,
0.051873,109.357,
0.052555,109.357,
0.053238,109.357,
0.053921,109.776,
0.054603,110.195,
0.055286,110.614,
0.055968,110.614,
0.056651,110.614,
0.057333,110.614,
0.058016,110.614,
0.058698,110.614,
0.059381,110.614,
0.060063,110.195,
0.060746,109.776,
0.061428,109.776,
0.062111,109.357,
0.062794,109.357,
0.063476,109.357,
0.064159,109.357,
0.064841,109.357,
0.065524,109.357,
0.066206,109.357,
0.066889,109.357,
0.067571,109.357,
0.068254,109.357,
0.068936,109.357,
0.069619,109.357,
0.070301,109.357,
0.070984,109.357,
