X_(unit),y1,y2
0.000,110.614,
0.419,110.614,
0.838,110.614,
1.257,110.614,
1.676,110.614,
2.095,110.614,
2.514,110.614,
2.933,110.614,
3.352,110.614,
3.771,110.614,
4.190,110.614,
4.609,110.405,
5.028,110.195,
5.447,109.776,
5.866,109.776,
6.285,109.148,
6.704,108.100,
7.123,106.843,
7.542,105.796,
7.961,104.958,
8.380,104.120,
8.799,103.282,
9.218,102.863,
9.637,102.025,
10.056,101.606,
10.475,100.768,
10.894,100.349,
11.313,99.511,
11.732,98.673,
12.151,98.044,
12.570,97.625,
12.989,97.625,
13.408,97.206,
13.827,96.997,
14.246,96.787,
14.665,96.787,
15.084,96.787,
15.503,96.787,
15.922,96.787,
16.341,96.787,
16.760,96.787,
17.179,96.787,
17.598,96.787,
18.017,96.997,
18.436,97.835,
18.855,98.673,
19.274,99.301,
19.693,99.301,
20.112,99.720,
20.531,99.720,
20.950,100.139,
21.369,100.349,
21.788,100.768,
22.207,101.187,
22.626,101.606,
23.045,102.444,
23.464,103.282,
23.883,103.910,
24.302,104.329,
24.721,104.748,
25.140,105.167,
25.559,105.586,
25.978,106.005,
26.397,106.005,
26.816,106.005,
27.235,106.215,
27.654,106.843,
28.073,107.472,
28.492,108.100,
28.911,108.729,
29.329,109.357,
29.748,109.357,
30.167,109.357,
30.586,NaN,
31.005,109.357,
31.424,109.357,
31.843,109.357,
32.262,109.357,
32.681,109.357,
33.100,109.776,
33.519,110.195,
33.938,110.614,
34.357,110.614,
34.776,110.614,
35.195,110.614,
35.614,110.614,
36.033,110.614,
36.452,110.614,
36.871,110.195,
37.290,109.776,
37.709,109.776,
38.128,109.357,
38.547,109.357,
38.966,109.357,
39.385,109.357,
39.804,109.357,
40.223,109.357,
40.642,109.357,
41.061,NaN,
41.480,109.357,
41.899,109.357,
42.318,109.357,
42.737,109.357,
43.156,109.357,
43.575,109.357,
43.994,109.357,
44.413,109.357,
44.832,109.357,
45.251,109.357,
45.670,109.357,
46.089,109.357,
46.508,109.357,
46.927,109.357,
47.346,109.357,
47.765,109.357,
48.184,109.357,
48.603,109.357,
49.022,109.357,
49.441,109.357,
49.860,108.938,
50.279,108.519,
50.698,108.100,
51.117,107.681,
51.536,107.262,
51.955,107.262,
52.374,107.262,
52.793,107.262,
53.212,107.262,
53.631,107.262,
54.050,107.262,
54.469,107.262,
54.888,107.262,
55.307,107.262,
55.726,107.262,
56.145,107.262,
56.564,107.262,
56.983,107.262,
57.402,107.262,
57.821,107.262,
58.240,107.262,
58.659,107.262,
59.078,107.262,
59.497,107.262,
59.916,107.262,
60.335,107.262,
60.754,107.262,
61.173,107.262,
61.592,107.262,
62.011,107.262,
62.430,107.262,
62.849,107.262,
63.268,107.262,
63.687,107.262,
64.106,107.262,
64.525,107.262,
64.944,107.262,
65.363,107.262,
65.782,107.262,
66.201,107.262,
66.620,107.053,
67.039,106.424,
67.458,105.586,
67.877,104.748,
